id,IsoCode,CountryName,Region,IncomeGroup,GiniYear,GiniCoefficient,HomicideYear,HomicidePer100k,HDI,GDP_Mean,LifeExpectancy,services2015,industry2015,agriculture2015,GDP_PPP_Year,GDP_PPP,Unemployment2015,Unemployment2016,Unemployment2017
155,TZA,"Tanzania, United Republic of",Sub-Saharan Africa,Low income,2011.0,37.8,2015.0,7.0,0.53,6.79,64.9,42.16,26.38,31.46,2016.0,2786.27,2.1,2.4,2.7
156,THA,Thailand,East Asia & Pacific,Upper middle income,2013.0,37.8,2015.0,3.5,0.74,3.63,75.07,54.89,36.39,8.72,2016.0,16913.37,1.0,0.9,1.0
157,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0.0,0.0,2010.0,3.7,0.61,5.66,68.58,63.57,18.82,17.6,2016.0,2140.36,3.3,3.8,4.1
158,TGO,Togo,Sub-Saharan Africa,Low income,2015.0,43.0,2015.0,9.1,0.49,4.83,59.92,40.67,17.65,40.66,2016.0,1490.54,6.2,6.2,6.2
159,TTO,Trinidad and Tobago,Latin America & Caribbean,High income,0.0,0.0,2015.0,30.9,0.78,0.51,70.59,59.03,40.44,0.53,2016.0,32854.72,3.4,3.9,4.4
160,TUN,Tunisia,Middle East & North Africa,Lower middle income,2010.0,35.8,2012.0,3.1,0.73,1.94,75.5,61.79,27.21,11.01,2016.0,11595.51,15.2,14.9,14.7
161,TUR,Turkey,Europe & Central Asia,Upper middle income,2014.0,41.2,2012.0,4.3,0.77,6.76,75.41,60.5,31.67,7.83,2016.0,25247.2,10.2,10.8,11.4
162,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,0.0,0.0,2015.0,4.2,0.69,9.74,67.64,,,,2016.0,16875.99,8.8,8.7,8.6
163,UGA,Uganda,Sub-Saharan Africa,Low income,2012.0,41.0,2014.0,11.8,0.49,5.34,59.51,52.14,21.77,26.09,2016.0,1819.43,1.9,2.1,2.3
164,UKR,Ukraine,Europe & Central Asia,Lower middle income,2015.0,25.5,2010.0,4.4,0.74,-0.59,71.19,60.16,25.65,14.19,2016.0,8269.61,9.1,9.2,9.0
165,ARE,United Arab Emirates,Middle East & North Africa,High income,0.0,0.0,2015.0,0.7,0.84,4.15,77.48,55.14,44.12,0.74,2016.0,72399.65,4.0,3.8,3.8
166,GBR,United Kingdom,Europe & Central Asia,High income,2014.0,34.1,2014.0,0.9,0.91,1.98,81.6,79.33,20.01,0.66,2016.0,42608.72,5.3,4.8,4.7
167,USA,United States of America,North America,High income,2013.0,41.0,2015.0,4.9,0.92,2.14,78.74,78.92,20.03,1.05,2016.0,57638.16,5.3,4.9,4.9
168,URY,Uruguay,Latin America & Caribbean,High income,2015.0,41.7,2015.0,8.4,0.8,3.74,77.13,64.14,28.89,6.96,2016.0,21619.61,7.5,7.8,8.3
169,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,0.0,0.0,2015.0,3.0,0.7,8.08,71.15,47.26,34.53,18.21,2016.0,6512.68,8.8,8.8,8.7
170,VUT,Vanuatu,East Asia & Pacific,Lower middle income,2010.0,37.3,2015.0,2.1,0.6,1.73,71.98,,,,2016.0,3080.57,5.3,5.4,5.4
171,VEN,Venezuela�(Bolivarian Republic),Latin America & Caribbean,Upper middle income,0.0,0.0,2015.0,57.1,0.77,0.82,74.39,,,,2014.0,17604.96,6.8,7.2,7.3
172,VNM,Viet Nam,East Asia & Pacific,Lower middle income,2014.0,34.8,2011.0,1.5,0.68,6.03,75.89,44.16,36.95,18.89,2016.0,6295.59,2.1,2.2,2.2
173,ESH,Western Sahara,,,,,,,,,,,,,,,,,
174,YEM,Yemen,Middle East & North Africa,Lower middle income,2014.0,36.7,2013.0,6.7,0.48,-5.12,64.73,42.14,48.05,9.81,2016.0,2507.47,16.7,16.2,16.0
175,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2015.0,57.1,2010.0,5.8,0.58,5.68,61.34,59.44,35.31,5.25,2016.0,3933.07,7.7,7.6,7.4
176,ZWE,Zimbabwe,Sub-Saharan Africa,Low income,2011.0,43.2,2012.0,6.7,0.52,7.54,60.28,64.2,24.2,11.6,2016.0,2027.08,5.1,5.2,5.3
